DateTime;Parking Granollers Renfe plazas totales
17/01/2020 22:00;163,0646808
17/01/2020 22:30;166,024484
17/01/2020 23:00;166,42
17/01/2020 23:30;166,42
18/01/2020 0:00;167,0270767
18/01/2020 0:30;167,4228
18/01/2020 1:00;167,4228
18/01/2020 1:30;167,4228
18/01/2020 2:00;167,4228
18/01/2020 2:30;167,4228
18/01/2020 3:00;167,4228
18/01/2020 3:30;167,6018288
18/01/2020 4:00;168,4256
18/01/2020 4:30;168,4256
18/01/2020 5:00;168,4256
18/01/2020 5:30;168,0881935
18/01/2020 6:00;166,5874806
18/01/2020 6:30;165,3235878
18/01/2020 7:00;163,1792555
18/01/2020 7:30;161,8366996
18/01/2020 8:00;161,25645
18/01/2020 8:30;159,8677831
18/01/2020 9:00;158,4536
18/01/2020 9:30;158,0605292
18/01/2020 10:00;156,4102297
18/01/2020 10:30;155,0811621
18/01/2020 11:00;154,5365843
18/01/2020 11:30;154,7489645
18/01/2020 12:00;155,0423453
18/01/2020 12:30;156,1154098
18/01/2020 13:00;156,0013782
18/01/2020 13:30;155,4788
18/01/2020 14:00;156,0933548
18/01/2020 14:30;156,4816
18/01/2020 15:00;156,8793311
18/01/2020 15:30;157,8934802
18/01/2020 16:00;159,1301986
18/01/2020 16:30;160,0116509
18/01/2020 17:00;159,841489
18/01/2020 17:30;159,3940503
18/01/2020 18:00;158,504
18/01/2020 18:30;158,9745268
18/01/2020 19:00;158,5733236
18/01/2020 19:30;160,0563721
18/01/2020 20:00;162,4843091
18/01/2020 20:30;163,9889325
18/01/2020 21:00;164,532
18/01/2020 21:30;164,532
18/01/2020 22:00;164,532
18/01/2020 22:30;164,532
18/01/2020 23:00;164,532
18/01/2020 23:30;165,164583
19/01/2020 0:00;165,5348
19/01/2020 0:30;165,5348
19/01/2020 1:00;165,5348
19/01/2020 1:30;165,5348
19/01/2020 2:00;165,5348
19/01/2020 2:30;165,5348
19/01/2020 3:00;165,5348
19/01/2020 3:30;165,5348
19/01/2020 4:00;165,5348
19/01/2020 4:30;165,5348
19/01/2020 5:00;165,5348
19/01/2020 5:30;165,5348
19/01/2020 6:00;164,9545221
19/01/2020 6:30;164,5376
19/01/2020 7:00;164,5376
19/01/2020 7:30;164,5376
19/01/2020 8:00;164,1000968
19/01/2020 8:30;163,5404
19/01/2020 9:00;163,5404
19/01/2020 9:30;163,5404
19/01/2020 10:00;163,5404
19/01/2020 10:30;163,14091
19/01/2020 11:00;162,5432
19/01/2020 11:30;163,0103471
19/01/2020 12:00;163,546
19/01/2020 12:30;163,546
19/01/2020 13:00;164,3885013
19/01/2020 13:30;165,5516
19/01/2020 14:00;166,4529651
19/01/2020 14:30;166,6748636
19/01/2020 15:00;166,56
19/01/2020 15:30;166,56
19/01/2020 16:00;166,56
19/01/2020 16:30;166,56
19/01/2020 17:00;166,56
19/01/2020 17:30;166,56
19/01/2020 18:00;166,56
19/01/2020 18:30;166,56
19/01/2020 19:00;166,9126909
19/01/2020 19:30;167,5628
19/01/2020 20:00;167,5628
19/01/2020 20:30;167,5628
19/01/2020 21:00;167,5628
19/01/2020 21:30;167,2426999
19/01/2020 22:00;166,5656
19/01/2020 22:30;166,5656
19/01/2020 23:00;166,5656
